fdc_id,protein_g,fat_g,carbs_g,calories,description
169549,24.04,26.67,0.0,343.0,"Beef, tenderloin, roast, separable lean and fat, trimmed to 1/8"" fat, prime, cooked, roasted"
169550,28.77,21.06,0.0,313.0,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, choice, cooked, pan-fried"
169551,20.68,11.13,0.0,189.0,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, raw"
169552,27.12,12.71,0.0,230.0,"Beef, top sirloin, steak, separable lean and fat, trimmed to 1/8"" fat, select, cooked, broiled"
169553,25.95,6.69,0.0,171.0,"Beef, chuck, clod roast, separable lean only, trimmed to 0"" fat, choice, cooked, roasted"
169554,27.78,7.15,0.0,183.0,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, cooked, broiled"
169555,33.59,6.77,0.0,205.0,"Beef, brisket, flat half, separable lean and fat, trimmed to 0"" fat, select, cooked, braised"
169556,27.95,12.71,0.0,234.0,"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, select, cooked, broiled"
169557,27.27,14.74,0.0,249.0,"Beef, rib eye, small end (ribs 10-12), separable lean and fat, trimmed to 0"" fat, all grades, cooked, broiled"
169558,26.05,11.07,0.0,211.0,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, all grades, cooked, roasted"
169559,20.64,7.68,0.0,157.0,"Beef, bottom sirloin, tri-tip roast, separable lean and fat, trimmed to 0"" fat, select, raw"
169560,29.96,4.28,0.0,167.0,"Beef, round, top round steak, boneless, separable lean and fat, trimmed to 0"" fat, all grades, cooked, grilled"
169561,25.74,5.69,0.0,161.0,"Beef, chuck, mock tender steak, separable lean only, trimmed to 0"" fat, choice, cooked, broiled"
169562,26.13,5.02,0.0,157.0,"Beef, chuck, mock tender steak, separable lean only, trimmed to 0"" fat, select, cooked, broiled"
169563,21.22,7.17,0.0,155.0,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, all grades, raw"
169564,21.22,6.06,0.0,145.0,"Beef, flank, steak, separable lean and fat, trimmed to 0"" fat, select, raw"
